Date,nickName,text,Content_Type,views,likes,shares,comments,Like_Rate (%),Share_Rate (%),Comment_Rate (%),Video_Length,hashtag1,country,Positive_Keywords,Negative_Keywords,videoUrl
2025-05-04,WASTED,"Follow  for more content! 🗽 That one time when #ishowspeed gave autograph on live stream 💀😂 IShowSpeed, whose real name is Darren Watkins Jr., is a popular American YouTuber, streamer, and internet personality known for his energetic and often unpredictable live streams. Rising to fame through his gaming content, particularly around FIFA, Fortnite, and NBA 2K, Speed quickly gained a massive following due to his high-energy reactions, humorous outbursts, and unique personality. He’s also known for his music releases, viral memes, and collaborations with other creators. Despite facing some controversies, Speed has managed to build a strong fanbase and remains one of the most recognizable figures in the online entertainment world. His content continues to evolve, attracting millions of viewers around the globe#fyp #ishowspeedclipz #ishowspeed#dreamlife",Gaming/Sports,405600,7365,607,193,1.7999999999999998,0.1,0.0,Medium (15-60s),fyp,,0.0,0.0,https://www.tiktok.com/@fooceyy/video/7500695239816957206
2025-06-01,MENDAS GAMING,iShowSpeed Makes A Young Fan Happy ❤️⚡ || #cynatriceditx #4k #viral #ishowspeed #viral #trending #wholesome #foryoupage #pleaseunfreezmyaccunt🙏🏻 ,Other,75000,2906,12,5,3.9,0.0,0.0,Long (1-5m),cynatriceditx,,1.0,0.0,https://www.tiktok.com/@yusrasminiworld1/video/7511131351404252447
2025-05-31,Elite exposure,Ishowspeeds aura risked #iShowSpeed #speed #viral #shorts #trending #aishowspeed #top5 #funnyclips #reactionvideo #speedrage #speedmoments #celebritydrama,Meme/Comedy,175,8,0,0,4.6,0.0,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@eliteexposureyt/video/7510760845832408327
2025-05-29,carrot_velera_🌺,Bro got every single question wrong 😭 #ishowspeed #speed #ishowspeedclips ,Other,949,45,1,0,4.7,0.1,0.0,Long (1-5m),ishowspeed,,0.0,0.0,https://www.tiktok.com/@carrot_velera_/video/7509735998847274282
2025-03-24,Kick Clipper,IShowSpeed wasn't fast enough to see his mask change color in China 🤯 #ishowspeed #fyp ,Other,3600000,69800,1885,193,1.9,0.1,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@kickclipper_/video/7485299939371797782
2025-05-06,Ishowspeed-,speed new haircut 💇 part 1 #ishowspeed #ishowspeedclipz #ishowspeedlive #ishowspeed #viral ##viral #ishowspeed #foryoupage #fyp #foryoupage ,Other,2200000,58000,640,180,2.6,0.0,0.0,Medium (15-60s),ishowspeed,6252001.0,0.0,0.0,https://www.tiktok.com/@univers_888/video/7501447329623346475
2024-06-21,GQ Sports,What’s the best fried chicken spot? @IShowSpeed #ishowspeed #speed #friedchicken #chicken ,Other,9400000,585900,7806,3955,6.2,0.1,0.0,Medium (15-60s),,,1.0,0.0,https://www.tiktok.com/@gqsports/video/7383023245546605855
2025-05-10,SpeedService,"iShowSpeed Gives $5,000 Gaming PC To This Kid ❤️🩹  |  #ishowspeedclips #gaming #littlekid #trends #mothersday",Other,17800000,1700000,14200,3842,9.6,0.1,0.0,Medium (15-60s),ishowspeedclips,,0.0,0.0,https://www.tiktok.com/@speedservice649/video/7502875768263888150
2025-06-01,Speed,SPEED REACTION TO 4-0 ##ishowspeedyt##ishowspeedlive##championsleague##speedclips##youtubers,Reaction,1372,28,1,2,2.0,0.1,0.1,Long (1-5m),ishowspeedyt,,0.0,0.0,https://www.tiktok.com/@speed0253/video/7510993681386622230
2025-05-30,ishowdailyvidsofficial,Sad moment when Speed got benched again #IShowSpeed #ishowspeedclipz #speed #fyp #viral ,Other,7334,134,2,2,1.7999999999999998,0.0,0.0,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@ishowdailyvidsofficial/video/7510258277540777238
2025-03-08,Kick Clipper,"IShowSpeed realized he lost his $20,000 custom-made earring during the Sidemen event 💔 #ishowspeed #fyp ",Other,1600000,72300,2128,400,4.5,0.1,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@kickclipper_/video/7479498452293111062
2025-05-01,ishowspeedplug,Ishowspeed opens fifa pack 😅😂😂#Ishowspeed #ishowspeedclipz #ishowspeedrage #ronaldo #fifa #football #fyp ,Gaming/Sports,669500,28800,227,196,4.3,0.0,0.0,Long (1-5m),ishowspeed,6252001.0,0.0,0.0,https://www.tiktok.com/@ishowspeedpluug/video/7499600844980014366
2023-07-09,Jeremiah,Speed makes his lobby public💀 #ishowspeed #speed #fyp ,Other,3300000,249300,29800,1318,7.6,0.8999999999999999,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@.jeremiah07/video/7253772946123017514
2025-05-09,oliver,Speed doing gods work ❤️… #respect #ishowspeed #speed #ishowspeedclipz #ishowspeedrage #ishowspeedclipz ,Rage Content,261300,13000,542,112,5.0,0.2,0.0,Long (1-5m),respect,,0.0,0.0,https://www.tiktok.com/@74oliverfn/video/7502556341119077654
2025-03-08,CLIPZZZ__,#foryoupage #fyp #streamer #ishowspeed #sidemencharitymatch ,Other,1900000,102300,4428,658,5.4,0.2,0.0,Short (<15s),foryoupage,,0.0,0.0,https://www.tiktok.com/@todayzclipzz/video/7479479830870773000
2025-04-05,atomclipz,IShowSpeed was SHOCKED after China government DISPLAY a DRONE show for him 👀😳 #ishowspeed #speed #ishowspeedclips #china @IShowSpeed ,Other,2100000,180600,1356,859,8.6,0.1,0.0,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@atomclipz/video/7489797388693982472
2024-03-08,Sewyyy🐐,Showspeed feeling when open Ronaldo 4 times Suiiiii #football #ishowspeed #ishowspeedclipz #ronaldo #fyp,Gaming/Sports,10400000,499500,3936,1531,4.8,0.0,0.0,Long (1-5m),football,,0.0,0.0,https://www.tiktok.com/@sewyyy.suiiii_clips/video/7344020794537708846
2025-03-28,G4BSOULZ👾‼️🔥,iShowSpeed Performs his new Kung fu Skills #ishowspeed #kungfu #shaolinkungfu #shaolin #fyp ,Other,26400000,3100000,439200,24000,11.700000000000001,1.7000000000000002,0.1,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@gabmlbns_clips/video/7486918119676513559
2025-05-08,heatclips,what's bro looking at 😂👀 #ishowspeed #speed #fyp #foryoupage #viral #clips ishowspeed getting his hair done on #stream #live !,Other,1100000,77400,9637,322,7.000000000000001,0.8999999999999999,0.0,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@_heatclips/video/7502220834925284630
2022-12-06,СНГ акк спида,🇵🇹Portugal VS Kazakhstan 🇰🇿 #ishowspeed #айшоуспид #қазақстан ,Other,507500,16200,1160,1473,3.2,0.2,0.3,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@ishowspeed_sng/video/7174115803749551365
2025-05-11,Infinite Meme,top 5 ishowspeed FUNNIEST moment😂☠️#funnyvideos #funny #viralvideo #viral #ishowspeedclips #ishowspeedclipz #ishowspeed,Meme/Comedy,15500,417,88,21,2.7,0.6,0.1,Medium (15-60s),funnyvideos,,0.0,0.0,https://www.tiktok.com/@clip_caffeine/video/7503340390074912031
2024-08-16,SpeedGang99,Speed Takes A Real Quick Fart Break🍑💨 #fyp #foryou #foryoupage #viral #ishowspeed #amy #fart #funny @ishowspeed,Meme/Comedy,180500,1289,126,37,0.7000000000000001,0.1,0.0,Medium (15-60s),fyp,,0.0,0.0,https://www.tiktok.com/@speedgang00/video/7403671089622043921
2024-12-31,SpeedNaldo7,iShowSpeed Found Ronaldo 😂⚡,Other,198900,7225,204,162,3.5999999999999996,0.1,0.1,Short (<15s),,,0.0,0.0,https://www.tiktok.com/@speednaldo7onyt/video/7454625699370962198
2025-05-11,MENDAS GAMING,iShowSpeed Gets His Payback 😂⚡ #cynatriceditx #4k #viral #ishowspeed #trending #payback #foryoupage #pleaseunfreezmyaccunt🙏🏻 @TikTok ,Other,1100000,70300,671,542,6.4,0.1,0.0,Medium (15-60s),cynatriceditx,,0.0,0.0,https://www.tiktok.com/@yusrasminiworld1/video/7503120156437056798
2024-11-09,Clippie💀,Speed just hit 18 million subs and jumped straight into his setup! 😂🔥 The hype is REAL! #IShowSpeed #speed #setup #jump #18Million #MilestoneMoment #EpicReaction #Viral,Reaction,1500000,38500,7963,604,2.6,0.5,0.0,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@clipma21/video/7435269453182487830
2025-04-10,ishowspeed_lover_r7,ishowspeed makes karate kid 🤯🔥,Other,280200,9020,410,279,3.2,0.1,0.1,Medium (15-60s),,,0.0,0.0,https://www.tiktok.com/@ishowspeed_lover_r7/video/7491786151028641067
2025-05-30,Champions League,@IShowSpeed’s #UCLFinal prediction 👀 #UCL #UCLFestival ,Other,26800000,1500000,19600,359200,5.6000000000000005,0.1,1.3,Short (<15s),,,0.0,0.0,https://www.tiktok.com/@championsleague/video/7510258765908741398
2024-11-09,messycrib,Kedodoran bah 😭😭 #ishowspeed #ishowspeedclips #ishowspeededit #ishowspeedclipz #ishowspeedmemes ,Meme/Comedy,1100000,11500,866,357,1.0,0.1,0.0,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@messy.xrib/video/7435344813995674887
2025-05-24,JNM7aep.,Ishowspeed revenge on FIFA president 🥶⚽ #football #fyu #fore #yuu #videoviral #fypシ゚ #forupage #vypシ #virial ,Gaming/Sports,3200000,135100,1119,299,4.2,0.0,0.0,Medium (15-60s),football,,0.0,0.0,https://www.tiktok.com/@jnm7aep1/video/7507966432903236920
2024-09-07,IShowSpeed,#ishowspeed ,Other,211000000,17300000,370700,102600,8.200000000000001,0.2,0.0,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@ishowspeed/video/7411788943558970667
2025-05-06,Ting 💗,@IShowSpeed I’m your biggest fan 💔 #ting #fyp #fypviralシ #relatable #gay ,Other,1300000,75900,1659,637,5.800000000000001,0.1,0.0,Short (<15s),,,0.0,0.0,https://www.tiktok.com/@dlwasianlover6969/video/7501370467639364870
2024-05-17,Unique Speedy,#ishowspeed ,Other,4300000,145500,1511,597,3.4000000000000004,0.0,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@unique.speedy/video/7369972192404065569
2024-12-05,AI_FootballZone,AI MENTALITY💀 @IShowSpeed  #speed #ronaldo #fyp #viral #ai ,Other,5700000,186600,107200,3335,3.3000000000000003,1.9,0.1,Short (<15s),,,0.0,0.0,https://www.tiktok.com/@ai_footballzone/video/7444993910692269334
2025-01-12,SpeedNaldo7,iShowSpeed Shocked by Messi 💀 #lionelmessi #ishowspeedclipz #viralvideos #ishowspeedclips #ishowspeedlive #foryoupage,Other,603300,14900,740,312,2.5,0.1,0.1,Medium (15-60s),lionelmessi,,0.0,0.0,https://www.tiktok.com/@speednaldo7onyt/video/7459003177057193238
2023-07-18,REDD,Speed going off cam with japrnese girl #speedinjapan #ishowspeedinjapan #fyp #ishowspeed #japan #girlfriend #girlfriend #speed #speedclips #viral #trending ,Other,146400,1428,74,34,1.0,0.1,0.0,Medium (15-60s),speedinjapan,,0.0,0.0,https://www.tiktok.com/@redd_clips/video/7257178680084925722
