video_id,url,description,timestamp,length_in_seconds,play_count,comments_count,reactions_count,reshare_count
1.34027E+15,https://www.facebook.com/reel/1340265023541871/,iShowSpeed Almost DIES From A Science Experiment,1696365020,51.524,1000000,425,5659,87
6.23593E+15,https://www.facebook.com/reel/6235927299847255/,iShowSpeed Shows Off His Rizz,1696217043,31.532,1000000,579,19931,678
1.01402E+15,https://www.facebook.com/reel/1014019896411925/,iShowSpeed Tried PRIME For The First Time,1696214651,59.643,160000,64,3957,37
8.19306E+14,https://www.facebook.com/reel/819306106600513/,iShowSpeed Reveals His Darkest Secret,1695946450,23.457,63000,39,1339,76
1.24453E+15,https://www.facebook.com/reel/1244533289572212/,iShowSpeed Get's Attacked By His PC,1695946438,38.689,46000,14,781,13
2.78916E+14,https://www.facebook.com/reel/278915831641747/,iSHowSpeed Destroys His Setup Playing FIFA24,1695866189,37.104,39000,12,546,3
2.74028E+14,https://www.facebook.com/reel/274027722163330/,iShowSpeed Fights CRISTIANO RONALDO,1695856038,40.408,77000,25,2312,35
1.87223E+15,https://www.facebook.com/reel/1872232399858257/,iShowSpeed Wins Variety Streamer Of The Year,1693191481,50.518,92000,117,5276,75
6.80283E+14,https://www.facebook.com/reel/680283393922948/,iShowSpeed Meets LIL TJAY,1689076325,27.52,128000,23,2730,26
2.25039E+14,https://www.facebook.com/reel/225039073765871/,iShowSpeed Tries Stage Diving,1688809038,10.325,138000,77,3876,98
1.61079E+15,https://www.facebook.com/reel/1610787569442923/,"iShowSpeed Asks Snap AI ""Ronaldo Or Messi?""",1683948510,12.492,116000,51,1142,11
1.9865E+14,https://www.facebook.com/reel/198649589228525/,iShowSpeed Tries The Condom Challenge,1683854695,16.857,133000,63,2582,116
6.64623E+14,https://www.facebook.com/reel/664622728761308/,iShowSpeed Meets Ronaldo On Omegle,1681660807,22.175,108000,52,2773,110
1.17084E+15,https://www.facebook.com/reel/1170844693579231/,iShowSpeed Gets Jumpscared By Dame Tu Cosita,1681574426,34.11,280000,86,6904,299
6.78536E+14,https://www.facebook.com/reel/678536337369845/,iShowSpeed Checks His Compatibility With RONALDO,1681412452,10.17,75000,38,1026,22
1.15314E+14,https://www.facebook.com/reel/115313624863322/,Wait For It,1681326068,31.997,87000,70,2557,116
1.74905E+14,https://www.facebook.com/reel/174904875459649/,iShowSpeed KISSES Cristiano Ronaldo,1681239636,24.543,82000,70,3906,61
7.72596E+14,https://www.facebook.com/reel/772596294381230/,Thank You Joao Felix,1680148878,26.749,83000,22,2975,22
1.60773E+15,https://www.facebook.com/reel/1607729746395505/,iShowSpeed Tricks Talking Ben,1675281630,8.661,113000,23,3058,184
5.84369E+14,https://www.facebook.com/reel/584369309802954/,iShowSpeed Packs Pele...,1675195233,40.124,317000,465,14462,604
9.39283E+14,https://www.facebook.com/reel/939282513897984/,iShowSpeed Plays Akinator...,1675108814,59.094,98000,39,3828,167
1.13773E+15,https://www.facebook.com/reel/1137725503604044/,iShowSpeed Fights Talking Ben,1675022410,59.094,64000,17,1515,30
8.83497E+14,https://www.facebook.com/reel/883497466135521/,iShowSpeed Reacts To Joe Biden's Message To Him,1674964817,54.195,32000,8,377,4
8.75652E+14,https://www.facebook.com/reel/875652053485558/,iShowSpeed Prank Calls A Restaurant,1674955011,55.774,37000,9,515,9
8.67672E+14,https://www.facebook.com/reel/867671607772341/,iShowSpeed Reacts To The Fifa 23 TOTY Defenders,1674697245,33.529,26000,1,252,2
1.37159E+15,https://www.facebook.com/reel/1371590516913244/,iShowSpeed Reacts to #miketyson vs #cristianoronaldo,1674695261,29.187,24000,3,225,3
4.72965E+14,https://www.facebook.com/reel/472964635052986/,Adin Ross Gave Me This...,1674611272,38.986,766000,263,50204,285
7.17643E+14,https://www.facebook.com/reel/717642923090529/,iShowSpeed & Adin Ross Arrested After Swatting,1674591476,25.959,22000,1,414,6
8.70787E+14,https://www.facebook.com/reel/870786517592898/,Debate Is Over,1674172194,12.747,22000,30,680,7
5.61593E+14,https://www.facebook.com/reel/561593152675041/,iShowSpeed Finally Meets Ronaldo,1674162040,58.399,23000,5,919,4
1.21093E+15,https://www.facebook.com/reel/1210931709511421/,iShowSpeed Finally Meets Messi,1674152649,57.214,23000,7,890,8
3.31531E+15,https://www.facebook.com/reel/3315307112131083/,iShowSpeed Reacts To Pele's Death,1672527627,58.142,19000,12,503,6
4.87869E+14,https://www.facebook.com/reel/487868950187356/,iShowSpeed Catches His Brother Watching P***,1672447007,57.98,17000,22,350,24
1.33818E+15,https://www.facebook.com/reel/1338175710332418/,iShowSpeed BANNED From Streaming,1672351223,47.391,15000,5,187,2
5.61643E+14,https://www.facebook.com/reel/561643242646807/,iShowSpeed Packs RONALDO,1672268454,59.14,415000,570,23982,386
1.20617E+15,https://www.facebook.com/reel/1206166997004056/,iShowSpeed DIES After Eating Venomous Scorpion,1671840313,59.767,17000,15,418,9
1.1304E+15,https://www.facebook.com/reel/1130402727607922/,iShowSpeed WINS BREAKOUT STREAMER AWARD 🏆,1670268550,49.272,20000,5,349,2
1.74063E+15,https://www.facebook.com/reel/1740632106305233/,Only Og's Remember These Days,1667862822,23.83,13000,4,142,2
6.37133E+14,https://www.facebook.com/reel/637133024678510/,iShowSpeed Sings And Then Breaks His Setup,1667156414,15.046,12000,3,77,1
1.30178E+15,https://www.facebook.com/reel/1301784287326699/,iShowSpeed Fights EDP,1667070014,13.676,12000,4,78,0
5.68013E+15,https://www.facebook.com/reel/5680126738713120/,iShowSpeed Tries Indian Food,1666807231,53.243,13000,4,107,2
1.2519E+15,https://www.facebook.com/reel/1251895265601551/,This Game's Not Scary 😂,1666720839,51.083,12000,1,87,2
1.12042E+15,https://www.facebook.com/reel/1120419731916790/,Are You Serious Right Neow,1666638072,31.104,12000,1,67,0
7.89902E+14,https://www.facebook.com/reel/789901932303562/,iShowSpeed Gets Attacked By Jason,1666638025,28.212,13000,1,116,1
8.25386E+14,https://www.facebook.com/reel/825385641996373/,Leaked Video Of Young iShowSpeed,1666551646,31.994,13000,3,139,2
5.45483E+15,https://www.facebook.com/reel/5454829054625354/,iShowSpeed Presses A Haunted House Worker,1666551631,18.761,14000,2,193,7
